mean-path-return_agent_0,max-path-return_agent_0,mean-path-return_agent_1,max-path-return_agent_1,last-path-return_agent_0,episode_reward,total-samples,last-path-return_agent_1,episodes
20.0,20.0,20.0,20.0,20.0,1,1,20.0,1
40.0,40.0,40.0,40.0,40.0,2,2,40.0,2
80.0,80.0,0.0,40.0,80.0,3,3,0.0,3
40.0,80.0,40.0,40.0,40.0,4,4,40.0,4
20.0,80.0,20.0,40.0,20.0,5,5,20.0,5
40.0,80.0,40.0,40.0,40.0,6,6,40.0,6
40.0,80.0,40.0,40.0,40.0,7,7,40.0,7
80.0,80.0,0.0,40.0,80.0,8,8,0.0,8
40.0,80.0,40.0,40.0,40.0,9,9,40.0,9
80.0,80.0,0.0,40.0,80.0,10,10,0.0,10
0.0,80.0,0.0,40.0,0.0,11,11,0.0,11
0.0,80.0,0.0,40.0,0.0,12,12,0.0,12
20.0,80.0,20.0,40.0,20.0,13,13,20.0,13
80.0,80.0,0.0,40.0,80.0,14,14,0.0,14
0.0,80.0,0.0,40.0,0.0,15,15,0.0,15
40.0,80.0,40.0,40.0,40.0,16,16,40.0,16
0.0,80.0,0.0,40.0,0.0,17,17,0.0,17
40.0,80.0,40.0,40.0,40.0,18,18,40.0,18
0.0,80.0,0.0,40.0,0.0,19,19,0.0,19
40.0,80.0,40.0,40.0,40.0,20,20,40.0,20
0.0,80.0,0.0,40.0,0.0,21,21,0.0,21
80.0,80.0,0.0,40.0,80.0,22,22,0.0,22
40.0,80.0,40.0,40.0,40.0,23,23,40.0,23
40.0,80.0,40.0,40.0,40.0,24,24,40.0,24
0.0,80.0,0.0,40.0,0.0,25,25,0.0,25
40.0,80.0,40.0,40.0,40.0,26,26,40.0,26
20.0,80.0,20.0,40.0,20.0,27,27,20.0,27
0.0,80.0,0.0,40.0,0.0,28,28,0.0,28
80.0,80.0,0.0,40.0,80.0,29,29,0.0,29
40.0,80.0,40.0,40.0,40.0,30,30,40.0,30
80.0,80.0,0.0,40.0,80.0,31,31,0.0,31
40.0,80.0,40.0,40.0,40.0,32,32,40.0,32
80.0,80.0,0.0,40.0,80.0,33,33,0.0,33
80.0,80.0,0.0,40.0,80.0,34,34,0.0,34
40.0,80.0,40.0,40.0,40.0,35,35,40.0,35
20.0,80.0,20.0,40.0,20.0,36,36,20.0,36
40.0,80.0,40.0,40.0,40.0,37,37,40.0,37
0.0,80.0,0.0,40.0,0.0,38,38,0.0,38
0.0,80.0,0.0,40.0,0.0,39,39,0.0,39
40.0,80.0,40.0,40.0,40.0,40,40,40.0,40
40.0,80.0,40.0,40.0,40.0,41,41,40.0,41
20.0,80.0,20.0,40.0,20.0,42,42,20.0,42
20.0,80.0,20.0,40.0,20.0,43,43,20.0,43
20.0,80.0,20.0,40.0,20.0,44,44,20.0,44
80.0,80.0,0.0,40.0,80.0,45,45,0.0,45
40.0,80.0,40.0,40.0,40.0,46,46,40.0,46
40.0,80.0,40.0,40.0,40.0,47,47,40.0,47
20.0,80.0,20.0,40.0,20.0,48,48,20.0,48
