last-path-return_agent_1,max-path-return_agent_0,total-samples,episodes,episode_reward,max-path-return_agent_1,last-path-return_agent_0,mean-path-return_agent_0,mean-path-return_agent_1
0.0,0.0,1,1,1,0.0,0.0,0.0,0.0
20.0,20.0,2,2,2,20.0,20.0,20.0,20.0
0.0,20.0,3,3,3,20.0,0.0,0.0,0.0
0.0,20.0,4,4,4,20.0,0.0,0.0,0.0
0.0,20.0,5,5,5,20.0,0.0,0.0,0.0
0.0,20.0,6,6,6,20.0,0.0,0.0,0.0
0.0,20.0,7,7,7,20.0,0.0,0.0,0.0
20.0,20.0,8,8,8,20.0,20.0,20.0,20.0
40.0,40.0,9,9,9,40.0,40.0,40.0,40.0
0.0,80.0,10,10,10,40.0,80.0,80.0,0.0
0.0,80.0,11,11,11,40.0,0.0,0.0,0.0
40.0,80.0,12,12,12,40.0,40.0,40.0,40.0
0.0,80.0,13,13,13,40.0,80.0,80.0,0.0
20.0,80.0,14,14,14,40.0,20.0,20.0,20.0
40.0,80.0,15,15,15,40.0,40.0,40.0,40.0
0.0,80.0,16,16,16,40.0,80.0,80.0,0.0
20.0,80.0,17,17,17,40.0,20.0,20.0,20.0
20.0,80.0,18,18,18,40.0,20.0,20.0,20.0
40.0,80.0,19,19,19,40.0,40.0,40.0,40.0
0.0,80.0,20,20,20,40.0,80.0,80.0,0.0
0.0,80.0,21,21,21,40.0,80.0,80.0,0.0
0.0,80.0,22,22,22,40.0,0.0,0.0,0.0
0.0,80.0,23,23,23,40.0,0.0,0.0,0.0
0.0,80.0,24,24,24,40.0,0.0,0.0,0.0
0.0,80.0,25,25,25,40.0,0.0,0.0,0.0
0.0,80.0,26,26,26,40.0,80.0,80.0,0.0
0.0,80.0,27,27,27,40.0,0.0,0.0,0.0
0.0,80.0,28,28,28,40.0,0.0,0.0,0.0
0.0,80.0,29,29,29,40.0,80.0,80.0,0.0
0.0,80.0,30,30,30,40.0,0.0,0.0,0.0
0.0,80.0,31,31,31,40.0,80.0,80.0,0.0
20.0,80.0,32,32,32,40.0,20.0,20.0,20.0
20.0,80.0,33,33,33,40.0,20.0,20.0,20.0
40.0,80.0,34,34,34,40.0,40.0,40.0,40.0
40.0,80.0,35,35,35,40.0,40.0,40.0,40.0
0.0,80.0,36,36,36,40.0,80.0,80.0,0.0
20.0,80.0,37,37,37,40.0,20.0,20.0,20.0
40.0,80.0,38,38,38,40.0,40.0,40.0,40.0
0.0,80.0,39,39,39,40.0,80.0,80.0,0.0
20.0,80.0,40,40,40,40.0,20.0,20.0,20.0
0.0,80.0,41,41,41,40.0,80.0,80.0,0.0
40.0,80.0,42,42,42,40.0,40.0,40.0,40.0
40.0,80.0,43,43,43,40.0,40.0,40.0,40.0
0.0,80.0,44,44,44,40.0,80.0,80.0,0.0
0.0,80.0,45,45,45,40.0,80.0,80.0,0.0
40.0,80.0,46,46,46,40.0,40.0,40.0,40.0
40.0,80.0,47,47,47,40.0,40.0,40.0,40.0
40.0,80.0,48,48,48,40.0,40.0,40.0,40.0
0.0,80.0,49,49,49,40.0,0.0,0.0,0.0
20.0,80.0,50,50,50,40.0,20.0,20.0,20.0
0.0,80.0,51,51,51,40.0,0.0,0.0,0.0
20.0,80.0,52,52,52,40.0,20.0,20.0,20.0
0.0,80.0,53,53,53,40.0,80.0,80.0,0.0
0.0,80.0,54,54,54,40.0,80.0,80.0,0.0
40.0,80.0,55,55,55,40.0,40.0,40.0,40.0
0.0,80.0,56,56,56,40.0,80.0,80.0,0.0
40.0,80.0,57,57,57,40.0,40.0,40.0,40.0
40.0,80.0,58,58,58,40.0,40.0,40.0,40.0
20.0,80.0,59,59,59,40.0,20.0,20.0,20.0
0.0,80.0,60,60,60,40.0,80.0,80.0,0.0
0.0,80.0,61,61,61,40.0,80.0,80.0,0.0
0.0,80.0,62,62,62,40.0,80.0,80.0,0.0
0.0,80.0,63,63,63,40.0,80.0,80.0,0.0
0.0,80.0,64,64,64,40.0,0.0,0.0,0.0
40.0,80.0,65,65,65,40.0,40.0,40.0,40.0
20.0,80.0,66,66,66,40.0,20.0,20.0,20.0
40.0,80.0,67,67,67,40.0,40.0,40.0,40.0
40.0,80.0,68,68,68,40.0,40.0,40.0,40.0
20.0,80.0,69,69,69,40.0,20.0,20.0,20.0
0.0,80.0,70,70,70,40.0,0.0,0.0,0.0
40.0,80.0,71,71,71,40.0,40.0,40.0,40.0
0.0,80.0,72,72,72,40.0,0.0,0.0,0.0
20.0,80.0,73,73,73,40.0,20.0,20.0,20.0
40.0,80.0,74,74,74,40.0,40.0,40.0,40.0
40.0,80.0,75,75,75,40.0,40.0,40.0,40.0
0.0,80.0,76,76,76,40.0,0.0,0.0,0.0
20.0,80.0,77,77,77,40.0,20.0,20.0,20.0
0.0,80.0,78,78,78,40.0,80.0,80.0,0.0
20.0,80.0,79,79,79,40.0,20.0,20.0,20.0
0.0,80.0,80,80,80,40.0,80.0,80.0,0.0
40.0,80.0,81,81,81,40.0,40.0,40.0,40.0
40.0,80.0,82,82,82,40.0,40.0,40.0,40.0
0.0,80.0,83,83,83,40.0,80.0,80.0,0.0
