last-path-return_agent_0,max-path-return_agent_1,mean-path-return_agent_0,episode_reward,last-path-return_agent_1,mean-path-return_agent_1,episodes,total-samples,max-path-return_agent_0
20.0,20.0,20.0,1,20.0,20.0,1,1,20.0
0.0,20.0,0.0,2,0.0,0.0,2,2,20.0
80.0,20.0,80.0,3,0.0,0.0,3,3,80.0
40.0,40.0,40.0,4,40.0,40.0,4,4,80.0
80.0,40.0,80.0,5,0.0,0.0,5,5,80.0
80.0,40.0,80.0,6,0.0,0.0,6,6,80.0
20.0,40.0,20.0,7,20.0,20.0,7,7,80.0
80.0,40.0,80.0,8,0.0,0.0,8,8,80.0
0.0,40.0,0.0,9,0.0,0.0,9,9,80.0
20.0,40.0,20.0,10,20.0,20.0,10,10,80.0
0.0,40.0,0.0,11,0.0,0.0,11,11,80.0
20.0,40.0,20.0,12,20.0,20.0,12,12,80.0
0.0,40.0,0.0,13,0.0,0.0,13,13,80.0
80.0,40.0,80.0,14,0.0,0.0,14,14,80.0
20.0,40.0,20.0,15,20.0,20.0,15,15,80.0
20.0,40.0,20.0,16,20.0,20.0,16,16,80.0
40.0,40.0,40.0,17,40.0,40.0,17,17,80.0
80.0,40.0,80.0,18,0.0,0.0,18,18,80.0
80.0,40.0,80.0,19,0.0,0.0,19,19,80.0
20.0,40.0,20.0,20,20.0,20.0,20,20,80.0
20.0,40.0,20.0,21,20.0,20.0,21,21,80.0
40.0,40.0,40.0,22,40.0,40.0,22,22,80.0
20.0,40.0,20.0,23,20.0,20.0,23,23,80.0
80.0,40.0,80.0,24,0.0,0.0,24,24,80.0
80.0,40.0,80.0,25,0.0,0.0,25,25,80.0
0.0,40.0,0.0,26,0.0,0.0,26,26,80.0
80.0,40.0,80.0,27,0.0,0.0,27,27,80.0
20.0,40.0,20.0,28,20.0,20.0,28,28,80.0
20.0,40.0,20.0,29,20.0,20.0,29,29,80.0
20.0,40.0,20.0,30,20.0,20.0,30,30,80.0
40.0,40.0,40.0,31,40.0,40.0,31,31,80.0
0.0,40.0,0.0,32,0.0,0.0,32,32,80.0
40.0,40.0,40.0,33,40.0,40.0,33,33,80.0
0.0,40.0,0.0,34,0.0,0.0,34,34,80.0
20.0,40.0,20.0,35,20.0,20.0,35,35,80.0
40.0,40.0,40.0,36,40.0,40.0,36,36,80.0
80.0,40.0,80.0,37,0.0,0.0,37,37,80.0
40.0,40.0,40.0,38,40.0,40.0,38,38,80.0
40.0,40.0,40.0,39,40.0,40.0,39,39,80.0
40.0,40.0,40.0,40,40.0,40.0,40,40,80.0
0.0,40.0,0.0,41,0.0,0.0,41,41,80.0
80.0,40.0,80.0,42,0.0,0.0,42,42,80.0
20.0,40.0,20.0,43,20.0,20.0,43,43,80.0
20.0,40.0,20.0,44,20.0,20.0,44,44,80.0
80.0,40.0,80.0,45,0.0,0.0,45,45,80.0
80.0,40.0,80.0,46,0.0,0.0,46,46,80.0
20.0,40.0,20.0,47,20.0,20.0,47,47,80.0
40.0,40.0,40.0,48,40.0,40.0,48,48,80.0
80.0,40.0,80.0,49,0.0,0.0,49,49,80.0
20.0,40.0,20.0,50,20.0,20.0,50,50,80.0
0.0,40.0,0.0,51,0.0,0.0,51,51,80.0
80.0,40.0,80.0,52,0.0,0.0,52,52,80.0
20.0,40.0,20.0,53,20.0,20.0,53,53,80.0
80.0,40.0,80.0,54,0.0,0.0,54,54,80.0
20.0,40.0,20.0,55,20.0,20.0,55,55,80.0
0.0,40.0,0.0,56,0.0,0.0,56,56,80.0
80.0,40.0,80.0,57,0.0,0.0,57,57,80.0
0.0,40.0,0.0,58,0.0,0.0,58,58,80.0
0.0,40.0,0.0,59,0.0,0.0,59,59,80.0
20.0,40.0,20.0,60,20.0,20.0,60,60,80.0
0.0,40.0,0.0,61,0.0,0.0,61,61,80.0
80.0,40.0,80.0,62,0.0,0.0,62,62,80.0
20.0,40.0,20.0,63,20.0,20.0,63,63,80.0
80.0,40.0,80.0,64,0.0,0.0,64,64,80.0
20.0,40.0,20.0,65,20.0,20.0,65,65,80.0
0.0,40.0,0.0,66,0.0,0.0,66,66,80.0
0.0,40.0,0.0,67,0.0,0.0,67,67,80.0
40.0,40.0,40.0,68,40.0,40.0,68,68,80.0
80.0,40.0,80.0,69,0.0,0.0,69,69,80.0
40.0,40.0,40.0,70,40.0,40.0,70,70,80.0
20.0,40.0,20.0,71,20.0,20.0,71,71,80.0
0.0,40.0,0.0,72,0.0,0.0,72,72,80.0
20.0,40.0,20.0,73,20.0,20.0,73,73,80.0
0.0,40.0,0.0,74,0.0,0.0,74,74,80.0
0.0,40.0,0.0,75,0.0,0.0,75,75,80.0
20.0,40.0,20.0,76,20.0,20.0,76,76,80.0
80.0,40.0,80.0,77,0.0,0.0,77,77,80.0
40.0,40.0,40.0,78,40.0,40.0,78,78,80.0
80.0,40.0,80.0,79,0.0,0.0,79,79,80.0
80.0,40.0,80.0,80,0.0,0.0,80,80,80.0
20.0,40.0,20.0,81,20.0,20.0,81,81,80.0
0.0,40.0,0.0,82,0.0,0.0,82,82,80.0
20.0,40.0,20.0,83,20.0,20.0,83,83,80.0
0.0,40.0,0.0,84,0.0,0.0,84,84,80.0
0.0,40.0,0.0,85,0.0,0.0,85,85,80.0
80.0,40.0,80.0,86,0.0,0.0,86,86,80.0
0.0,40.0,0.0,87,0.0,0.0,87,87,80.0
0.0,40.0,0.0,88,0.0,0.0,88,88,80.0
40.0,40.0,40.0,89,40.0,40.0,89,89,80.0
80.0,40.0,80.0,90,0.0,0.0,90,90,80.0
80.0,40.0,80.0,91,0.0,0.0,91,91,80.0
80.0,40.0,80.0,92,0.0,0.0,92,92,80.0
20.0,40.0,20.0,93,20.0,20.0,93,93,80.0
80.0,40.0,80.0,94,0.0,0.0,94,94,80.0
0.0,40.0,0.0,95,0.0,0.0,95,95,80.0
40.0,40.0,40.0,96,40.0,40.0,96,96,80.0
80.0,40.0,80.0,97,0.0,0.0,97,97,80.0
20.0,40.0,20.0,98,20.0,20.0,98,98,80.0
40.0,40.0,40.0,99,40.0,40.0,99,99,80.0
20.0,40.0,20.0,100,20.0,20.0,100,100,80.0
0.0,40.0,0.0,101,0.0,0.0,101,101,80.0
40.0,40.0,40.0,102,40.0,40.0,102,102,80.0
20.0,40.0,20.0,103,20.0,20.0,103,103,80.0
20.0,40.0,20.0,104,20.0,20.0,104,104,80.0
0.0,40.0,0.0,105,0.0,0.0,105,105,80.0
40.0,40.0,40.0,106,40.0,40.0,106,106,80.0
80.0,40.0,80.0,107,0.0,0.0,107,107,80.0
0.0,40.0,0.0,108,0.0,0.0,108,108,80.0
