total-samples,last-path-return_agent_0,episode_reward,max-path-return_agent_0,mean-path-return_agent_0,episodes,max-path-return_agent_1,mean-path-return_agent_1,last-path-return_agent_1
1,40.0,1,40.0,40.0,1,40.0,40.0,40.0
2,40.0,2,40.0,40.0,2,40.0,40.0,40.0
3,40.0,3,40.0,40.0,3,40.0,40.0,40.0
4,0.0,4,40.0,0.0,4,40.0,0.0,0.0
5,0.0,5,40.0,0.0,5,40.0,0.0,0.0
6,40.0,6,40.0,40.0,6,40.0,40.0,40.0
7,0.0,7,40.0,0.0,7,40.0,0.0,0.0
8,80.0,8,80.0,80.0,8,40.0,0.0,0.0
9,20.0,9,80.0,20.0,9,40.0,20.0,20.0
10,0.0,10,80.0,0.0,10,40.0,0.0,0.0
11,80.0,11,80.0,80.0,11,40.0,0.0,0.0
12,80.0,12,80.0,80.0,12,40.0,0.0,0.0
13,20.0,13,80.0,20.0,13,40.0,20.0,20.0
14,0.0,14,80.0,0.0,14,40.0,0.0,0.0
15,80.0,15,80.0,80.0,15,40.0,0.0,0.0
16,0.0,16,80.0,0.0,16,40.0,0.0,0.0
17,40.0,17,80.0,40.0,17,40.0,40.0,40.0
18,0.0,18,80.0,0.0,18,40.0,0.0,0.0
19,0.0,19,80.0,0.0,19,40.0,0.0,0.0
20,80.0,20,80.0,80.0,20,40.0,0.0,0.0
21,40.0,21,80.0,40.0,21,40.0,40.0,40.0
22,40.0,22,80.0,40.0,22,40.0,40.0,40.0
23,40.0,23,80.0,40.0,23,40.0,40.0,40.0
24,20.0,24,80.0,20.0,24,40.0,20.0,20.0
25,40.0,25,80.0,40.0,25,40.0,40.0,40.0
26,80.0,26,80.0,80.0,26,40.0,0.0,0.0
27,80.0,27,80.0,80.0,27,40.0,0.0,0.0
28,80.0,28,80.0,80.0,28,40.0,0.0,0.0
29,80.0,29,80.0,80.0,29,40.0,0.0,0.0
30,0.0,30,80.0,0.0,30,40.0,0.0,0.0
31,20.0,31,80.0,20.0,31,40.0,20.0,20.0
32,40.0,32,80.0,40.0,32,40.0,40.0,40.0
33,20.0,33,80.0,20.0,33,40.0,20.0,20.0
34,40.0,34,80.0,40.0,34,40.0,40.0,40.0
35,0.0,35,80.0,0.0,35,40.0,0.0,0.0
36,20.0,36,80.0,20.0,36,40.0,20.0,20.0
37,0.0,37,80.0,0.0,37,40.0,0.0,0.0
38,40.0,38,80.0,40.0,38,40.0,40.0,40.0
39,20.0,39,80.0,20.0,39,40.0,20.0,20.0
40,80.0,40,80.0,80.0,40,40.0,0.0,0.0
41,0.0,41,80.0,0.0,41,40.0,0.0,0.0
42,20.0,42,80.0,20.0,42,40.0,20.0,20.0
43,0.0,43,80.0,0.0,43,40.0,0.0,0.0
44,80.0,44,80.0,80.0,44,40.0,0.0,0.0
45,20.0,45,80.0,20.0,45,40.0,20.0,20.0
46,40.0,46,80.0,40.0,46,40.0,40.0,40.0
47,0.0,47,80.0,0.0,47,40.0,0.0,0.0
48,40.0,48,80.0,40.0,48,40.0,40.0,40.0
49,80.0,49,80.0,80.0,49,40.0,0.0,0.0
50,0.0,50,80.0,0.0,50,40.0,0.0,0.0
51,0.0,51,80.0,0.0,51,40.0,0.0,0.0
52,40.0,52,80.0,40.0,52,40.0,40.0,40.0
53,40.0,53,80.0,40.0,53,40.0,40.0,40.0
54,80.0,54,80.0,80.0,54,40.0,0.0,0.0
55,40.0,55,80.0,40.0,55,40.0,40.0,40.0
56,20.0,56,80.0,20.0,56,40.0,20.0,20.0
57,20.0,57,80.0,20.0,57,40.0,20.0,20.0
58,20.0,58,80.0,20.0,58,40.0,20.0,20.0
59,0.0,59,80.0,0.0,59,40.0,0.0,0.0
60,0.0,60,80.0,0.0,60,40.0,0.0,0.0
61,40.0,61,80.0,40.0,61,40.0,40.0,40.0
62,80.0,62,80.0,80.0,62,40.0,0.0,0.0
63,20.0,63,80.0,20.0,63,40.0,20.0,20.0
64,20.0,64,80.0,20.0,64,40.0,20.0,20.0
65,20.0,65,80.0,20.0,65,40.0,20.0,20.0
66,0.0,66,80.0,0.0,66,40.0,0.0,0.0
67,80.0,67,80.0,80.0,67,40.0,0.0,0.0
