last-path-return_agent_0,max-path-return_agent_0,episodes,episode_reward,total-samples,mean-path-return_agent_0,mean-path-return_agent_1,max-path-return_agent_1,last-path-return_agent_1
2.0,2.0,1,1,1,2.0,-2.0,-2.0,-2.0
5.0,5.0,2,2,2,5.0,-5.0,-2.0,-5.0
-1.0,5.0,3,3,3,-1.0,1.0,1.0,1.0
5.0,5.0,4,4,4,5.0,-5.0,1.0,-5.0
5.0,5.0,5,5,5,5.0,-5.0,1.0,-5.0
5.0,5.0,6,6,6,5.0,-5.0,1.0,-5.0
-1.0,5.0,7,7,7,-1.0,1.0,1.0,1.0
6.0,6.0,8,8,8,6.0,-6.0,1.0,-6.0
-1.0,6.0,9,9,9,-1.0,1.0,1.0,1.0
2.0,6.0,10,10,10,2.0,-2.0,1.0,-2.0
2.0,6.0,11,11,11,2.0,-2.0,1.0,-2.0
-1.0,6.0,12,12,12,-1.0,1.0,1.0,1.0
2.0,6.0,13,13,13,2.0,-2.0,1.0,-2.0
6.0,6.0,14,14,14,6.0,-6.0,1.0,-6.0
6.0,6.0,15,15,15,6.0,-6.0,1.0,-6.0
6.0,6.0,16,16,16,6.0,-6.0,1.0,-6.0
5.0,6.0,17,17,17,5.0,-5.0,1.0,-5.0
6.0,6.0,18,18,18,6.0,-6.0,1.0,-6.0
-1.0,6.0,19,19,19,-1.0,1.0,1.0,1.0
2.0,6.0,20,20,20,2.0,-2.0,1.0,-2.0
6.0,6.0,21,21,21,6.0,-6.0,1.0,-6.0
6.0,6.0,22,22,22,6.0,-6.0,1.0,-6.0
5.0,6.0,23,23,23,5.0,-5.0,1.0,-5.0
6.0,6.0,24,24,24,6.0,-6.0,1.0,-6.0
5.0,6.0,25,25,25,5.0,-5.0,1.0,-5.0
6.0,6.0,26,26,26,6.0,-6.0,1.0,-6.0
-1.0,6.0,27,27,27,-1.0,1.0,1.0,1.0
2.0,6.0,28,28,28,2.0,-2.0,1.0,-2.0
5.0,6.0,29,29,29,5.0,-5.0,1.0,-5.0
6.0,6.0,30,30,30,6.0,-6.0,1.0,-6.0
-1.0,6.0,31,31,31,-1.0,1.0,1.0,1.0
-1.0,6.0,32,32,32,-1.0,1.0,1.0,1.0
2.0,6.0,33,33,33,2.0,-2.0,1.0,-2.0
-1.0,6.0,34,34,34,-1.0,1.0,1.0,1.0
-1.0,6.0,35,35,35,-1.0,1.0,1.0,1.0
6.0,6.0,36,36,36,6.0,-6.0,1.0,-6.0
6.0,6.0,37,37,37,6.0,-6.0,1.0,-6.0
5.0,6.0,38,38,38,5.0,-5.0,1.0,-5.0
5.0,6.0,39,39,39,5.0,-5.0,1.0,-5.0
2.0,6.0,40,40,40,2.0,-2.0,1.0,-2.0
6.0,6.0,41,41,41,6.0,-6.0,1.0,-6.0
5.0,6.0,42,42,42,5.0,-5.0,1.0,-5.0
6.0,6.0,43,43,43,6.0,-6.0,1.0,-6.0
6.0,6.0,44,44,44,6.0,-6.0,1.0,-6.0
2.0,6.0,45,45,45,2.0,-2.0,1.0,-2.0
2.0,6.0,46,46,46,2.0,-2.0,1.0,-2.0
-1.0,6.0,47,47,47,-1.0,1.0,1.0,1.0
6.0,6.0,48,48,48,6.0,-6.0,1.0,-6.0
6.0,6.0,49,49,49,6.0,-6.0,1.0,-6.0
5.0,6.0,50,50,50,5.0,-5.0,1.0,-5.0
2.0,6.0,51,51,51,2.0,-2.0,1.0,-2.0
6.0,6.0,52,52,52,6.0,-6.0,1.0,-6.0
5.0,6.0,53,53,53,5.0,-5.0,1.0,-5.0
5.0,6.0,54,54,54,5.0,-5.0,1.0,-5.0
-1.0,6.0,55,55,55,-1.0,1.0,1.0,1.0
5.0,6.0,56,56,56,5.0,-5.0,1.0,-5.0
5.0,6.0,57,57,57,5.0,-5.0,1.0,-5.0
-1.0,6.0,58,58,58,-1.0,1.0,1.0,1.0
-1.0,6.0,59,59,59,-1.0,1.0,1.0,1.0
2.0,6.0,60,60,60,2.0,-2.0,1.0,-2.0
2.0,6.0,61,61,61,2.0,-2.0,1.0,-2.0
2.0,6.0,62,62,62,2.0,-2.0,1.0,-2.0
2.0,6.0,63,63,63,2.0,-2.0,1.0,-2.0
5.0,6.0,64,64,64,5.0,-5.0,1.0,-5.0
-1.0,6.0,65,65,65,-1.0,1.0,1.0,1.0
-1.0,6.0,66,66,66,-1.0,1.0,1.0,1.0
-1.0,6.0,67,67,67,-1.0,1.0,1.0,1.0
-1.0,6.0,68,68,68,-1.0,1.0,1.0,1.0
5.0,6.0,69,69,69,5.0,-5.0,1.0,-5.0
6.0,6.0,70,70,70,6.0,-6.0,1.0,-6.0
6.0,6.0,71,71,71,6.0,-6.0,1.0,-6.0
-1.0,6.0,72,72,72,-1.0,1.0,1.0,1.0
6.0,6.0,73,73,73,6.0,-6.0,1.0,-6.0
-1.0,6.0,74,74,74,-1.0,1.0,1.0,1.0
-1.0,6.0,75,75,75,-1.0,1.0,1.0,1.0
2.0,6.0,76,76,76,2.0,-2.0,1.0,-2.0
-1.0,6.0,77,77,77,-1.0,1.0,1.0,1.0
5.0,6.0,78,78,78,5.0,-5.0,1.0,-5.0
2.0,6.0,79,79,79,2.0,-2.0,1.0,-2.0
6.0,6.0,80,80,80,6.0,-6.0,1.0,-6.0
6.0,6.0,81,81,81,6.0,-6.0,1.0,-6.0
-1.0,6.0,82,82,82,-1.0,1.0,1.0,1.0
5.0,6.0,83,83,83,5.0,-5.0,1.0,-5.0
6.0,6.0,84,84,84,6.0,-6.0,1.0,-6.0
-1.0,6.0,85,85,85,-1.0,1.0,1.0,1.0
6.0,6.0,86,86,86,6.0,-6.0,1.0,-6.0
2.0,6.0,87,87,87,2.0,-2.0,1.0,-2.0
2.0,6.0,88,88,88,2.0,-2.0,1.0,-2.0
6.0,6.0,89,89,89,6.0,-6.0,1.0,-6.0
5.0,6.0,90,90,90,5.0,-5.0,1.0,-5.0
6.0,6.0,91,91,91,6.0,-6.0,1.0,-6.0
