mean-path-return_agent_0,max-path-return_agent_0,last-path-return_agent_1,max-path-return_agent_1,total-samples,episode_reward,last-path-return_agent_0,episodes,mean-path-return_agent_1
5.0,5.0,-5.0,-5.0,1,1,5.0,1,-5.0
5.0,5.0,-5.0,-5.0,2,2,5.0,2,-5.0
6.0,6.0,-6.0,-5.0,3,3,6.0,3,-6.0
2.0,6.0,-2.0,-2.0,4,4,2.0,4,-2.0
2.0,6.0,-2.0,-2.0,5,5,2.0,5,-2.0
5.0,6.0,-5.0,-2.0,6,6,5.0,6,-5.0
2.0,6.0,-2.0,-2.0,7,7,2.0,7,-2.0
6.0,6.0,-6.0,-2.0,8,8,6.0,8,-6.0
5.0,6.0,-5.0,-2.0,9,9,5.0,9,-5.0
2.0,6.0,-2.0,-2.0,10,10,2.0,10,-2.0
-1.0,6.0,1.0,1.0,11,11,-1.0,11,1.0
2.0,6.0,-2.0,1.0,12,12,2.0,12,-2.0
5.0,6.0,-5.0,1.0,13,13,5.0,13,-5.0
5.0,6.0,-5.0,1.0,14,14,5.0,14,-5.0
5.0,6.0,-5.0,1.0,15,15,5.0,15,-5.0
-1.0,6.0,1.0,1.0,16,16,-1.0,16,1.0
2.0,6.0,-2.0,1.0,17,17,2.0,17,-2.0
5.0,6.0,-5.0,1.0,18,18,5.0,18,-5.0
2.0,6.0,-2.0,1.0,19,19,2.0,19,-2.0
5.0,6.0,-5.0,1.0,20,20,5.0,20,-5.0
6.0,6.0,-6.0,1.0,21,21,6.0,21,-6.0
2.0,6.0,-2.0,1.0,22,22,2.0,22,-2.0
5.0,6.0,-5.0,1.0,23,23,5.0,23,-5.0
-1.0,6.0,1.0,1.0,24,24,-1.0,24,1.0
-1.0,6.0,1.0,1.0,25,25,-1.0,25,1.0
-1.0,6.0,1.0,1.0,26,26,-1.0,26,1.0
6.0,6.0,-6.0,1.0,27,27,6.0,27,-6.0
-1.0,6.0,1.0,1.0,28,28,-1.0,28,1.0
5.0,6.0,-5.0,1.0,29,29,5.0,29,-5.0
5.0,6.0,-5.0,1.0,30,30,5.0,30,-5.0
5.0,6.0,-5.0,1.0,31,31,5.0,31,-5.0
-1.0,6.0,1.0,1.0,32,32,-1.0,32,1.0
6.0,6.0,-6.0,1.0,33,33,6.0,33,-6.0
2.0,6.0,-2.0,1.0,34,34,2.0,34,-2.0
-1.0,6.0,1.0,1.0,35,35,-1.0,35,1.0
-1.0,6.0,1.0,1.0,36,36,-1.0,36,1.0
6.0,6.0,-6.0,1.0,37,37,6.0,37,-6.0
-1.0,6.0,1.0,1.0,38,38,-1.0,38,1.0
6.0,6.0,-6.0,1.0,39,39,6.0,39,-6.0
-1.0,6.0,1.0,1.0,40,40,-1.0,40,1.0
6.0,6.0,-6.0,1.0,41,41,6.0,41,-6.0
5.0,6.0,-5.0,1.0,42,42,5.0,42,-5.0
2.0,6.0,-2.0,1.0,43,43,2.0,43,-2.0
2.0,6.0,-2.0,1.0,44,44,2.0,44,-2.0
5.0,6.0,-5.0,1.0,45,45,5.0,45,-5.0
5.0,6.0,-5.0,1.0,46,46,5.0,46,-5.0
2.0,6.0,-2.0,1.0,47,47,2.0,47,-2.0
2.0,6.0,-2.0,1.0,48,48,2.0,48,-2.0
6.0,6.0,-6.0,1.0,49,49,6.0,49,-6.0
-1.0,6.0,1.0,1.0,50,50,-1.0,50,1.0
2.0,6.0,-2.0,1.0,51,51,2.0,51,-2.0
-1.0,6.0,1.0,1.0,52,52,-1.0,52,1.0
2.0,6.0,-2.0,1.0,53,53,2.0,53,-2.0
-1.0,6.0,1.0,1.0,54,54,-1.0,54,1.0
6.0,6.0,-6.0,1.0,55,55,6.0,55,-6.0
5.0,6.0,-5.0,1.0,56,56,5.0,56,-5.0
6.0,6.0,-6.0,1.0,57,57,6.0,57,-6.0
5.0,6.0,-5.0,1.0,58,58,5.0,58,-5.0
6.0,6.0,-6.0,1.0,59,59,6.0,59,-6.0
6.0,6.0,-6.0,1.0,60,60,6.0,60,-6.0
-1.0,6.0,1.0,1.0,61,61,-1.0,61,1.0
5.0,6.0,-5.0,1.0,62,62,5.0,62,-5.0
2.0,6.0,-2.0,1.0,63,63,2.0,63,-2.0
5.0,6.0,-5.0,1.0,64,64,5.0,64,-5.0
5.0,6.0,-5.0,1.0,65,65,5.0,65,-5.0
2.0,6.0,-2.0,1.0,66,66,2.0,66,-2.0
-1.0,6.0,1.0,1.0,67,67,-1.0,67,1.0
2.0,6.0,-2.0,1.0,68,68,2.0,68,-2.0
2.0,6.0,-2.0,1.0,69,69,2.0,69,-2.0
-1.0,6.0,1.0,1.0,70,70,-1.0,70,1.0
6.0,6.0,-6.0,1.0,71,71,6.0,71,-6.0
-1.0,6.0,1.0,1.0,72,72,-1.0,72,1.0
