episodes,episode_reward,mean-path-return_agent_1,max-path-return_agent_0,mean-path-return_agent_0,last-path-return_agent_1,total-samples,last-path-return_agent_0,max-path-return_agent_1
1,1,-2.0,2.0,2.0,-2.0,1,2.0,-2.0
2,2,-6.0,6.0,6.0,-6.0,2,6.0,-2.0
3,3,-5.0,6.0,5.0,-5.0,3,5.0,-2.0
4,4,-2.0,6.0,2.0,-2.0,4,2.0,-2.0
5,5,-2.0,6.0,2.0,-2.0,5,2.0,-2.0
6,6,-2.0,6.0,2.0,-2.0,6,2.0,-2.0
7,7,-5.0,6.0,5.0,-5.0,7,5.0,-2.0
8,8,-6.0,6.0,6.0,-6.0,8,6.0,-2.0
9,9,-2.0,6.0,2.0,-2.0,9,2.0,-2.0
10,10,-2.0,6.0,2.0,-2.0,10,2.0,-2.0
11,11,-2.0,6.0,2.0,-2.0,11,2.0,-2.0
12,12,1.0,6.0,-1.0,1.0,12,-1.0,1.0
13,13,-2.0,6.0,2.0,-2.0,13,2.0,1.0
14,14,1.0,6.0,-1.0,1.0,14,-1.0,1.0
15,15,-5.0,6.0,5.0,-5.0,15,5.0,1.0
16,16,-6.0,6.0,6.0,-6.0,16,6.0,1.0
17,17,-2.0,6.0,2.0,-2.0,17,2.0,1.0
18,18,-6.0,6.0,6.0,-6.0,18,6.0,1.0
19,19,-2.0,6.0,2.0,-2.0,19,2.0,1.0
20,20,-6.0,6.0,6.0,-6.0,20,6.0,1.0
21,21,-2.0,6.0,2.0,-2.0,21,2.0,1.0
22,22,-5.0,6.0,5.0,-5.0,22,5.0,1.0
23,23,-2.0,6.0,2.0,-2.0,23,2.0,1.0
24,24,-5.0,6.0,5.0,-5.0,24,5.0,1.0
25,25,1.0,6.0,-1.0,1.0,25,-1.0,1.0
26,26,-5.0,6.0,5.0,-5.0,26,5.0,1.0
27,27,-5.0,6.0,5.0,-5.0,27,5.0,1.0
28,28,-2.0,6.0,2.0,-2.0,28,2.0,1.0
29,29,-2.0,6.0,2.0,-2.0,29,2.0,1.0
30,30,1.0,6.0,-1.0,1.0,30,-1.0,1.0
31,31,-5.0,6.0,5.0,-5.0,31,5.0,1.0
32,32,-6.0,6.0,6.0,-6.0,32,6.0,1.0
