last-path-return_agent_0,episodes,mean-path-return_agent_0,max-path-return_agent_0,episode_reward,last-path-return_agent_1,max-path-return_agent_1,mean-path-return_agent_1,total-samples
6.0,1,6.0,6.0,1,-6.0,-6.0,-6.0,1
2.0,2,2.0,6.0,2,-2.0,-2.0,-2.0,2
5.0,3,5.0,6.0,3,-5.0,-2.0,-5.0,3
5.0,4,5.0,6.0,4,-5.0,-2.0,-5.0,4
6.0,5,6.0,6.0,5,-6.0,-2.0,-6.0,5
-1.0,6,-1.0,6.0,6,1.0,1.0,1.0,6
5.0,7,5.0,6.0,7,-5.0,1.0,-5.0,7
6.0,8,6.0,6.0,8,-6.0,1.0,-6.0,8
5.0,9,5.0,6.0,9,-5.0,1.0,-5.0,9
5.0,10,5.0,6.0,10,-5.0,1.0,-5.0,10
6.0,11,6.0,6.0,11,-6.0,1.0,-6.0,11
5.0,12,5.0,6.0,12,-5.0,1.0,-5.0,12
5.0,13,5.0,6.0,13,-5.0,1.0,-5.0,13
5.0,14,5.0,6.0,14,-5.0,1.0,-5.0,14
-1.0,15,-1.0,6.0,15,1.0,1.0,1.0,15
5.0,16,5.0,6.0,16,-5.0,1.0,-5.0,16
2.0,17,2.0,6.0,17,-2.0,1.0,-2.0,17
5.0,18,5.0,6.0,18,-5.0,1.0,-5.0,18
6.0,19,6.0,6.0,19,-6.0,1.0,-6.0,19
-1.0,20,-1.0,6.0,20,1.0,1.0,1.0,20
6.0,21,6.0,6.0,21,-6.0,1.0,-6.0,21
6.0,22,6.0,6.0,22,-6.0,1.0,-6.0,22
5.0,23,5.0,6.0,23,-5.0,1.0,-5.0,23
2.0,24,2.0,6.0,24,-2.0,1.0,-2.0,24
6.0,25,6.0,6.0,25,-6.0,1.0,-6.0,25
2.0,26,2.0,6.0,26,-2.0,1.0,-2.0,26
2.0,27,2.0,6.0,27,-2.0,1.0,-2.0,27
6.0,28,6.0,6.0,28,-6.0,1.0,-6.0,28
6.0,29,6.0,6.0,29,-6.0,1.0,-6.0,29
-1.0,30,-1.0,6.0,30,1.0,1.0,1.0,30
6.0,31,6.0,6.0,31,-6.0,1.0,-6.0,31
6.0,32,6.0,6.0,32,-6.0,1.0,-6.0,32
-1.0,33,-1.0,6.0,33,1.0,1.0,1.0,33
-1.0,34,-1.0,6.0,34,1.0,1.0,1.0,34
6.0,35,6.0,6.0,35,-6.0,1.0,-6.0,35
2.0,36,2.0,6.0,36,-2.0,1.0,-2.0,36
6.0,37,6.0,6.0,37,-6.0,1.0,-6.0,37
6.0,38,6.0,6.0,38,-6.0,1.0,-6.0,38
-1.0,39,-1.0,6.0,39,1.0,1.0,1.0,39
6.0,40,6.0,6.0,40,-6.0,1.0,-6.0,40
2.0,41,2.0,6.0,41,-2.0,1.0,-2.0,41
5.0,42,5.0,6.0,42,-5.0,1.0,-5.0,42
-1.0,43,-1.0,6.0,43,1.0,1.0,1.0,43
2.0,44,2.0,6.0,44,-2.0,1.0,-2.0,44
-1.0,45,-1.0,6.0,45,1.0,1.0,1.0,45
6.0,46,6.0,6.0,46,-6.0,1.0,-6.0,46
6.0,47,6.0,6.0,47,-6.0,1.0,-6.0,47
2.0,48,2.0,6.0,48,-2.0,1.0,-2.0,48
5.0,49,5.0,6.0,49,-5.0,1.0,-5.0,49
2.0,50,2.0,6.0,50,-2.0,1.0,-2.0,50
6.0,51,6.0,6.0,51,-6.0,1.0,-6.0,51
6.0,52,6.0,6.0,52,-6.0,1.0,-6.0,52
-1.0,53,-1.0,6.0,53,1.0,1.0,1.0,53
6.0,54,6.0,6.0,54,-6.0,1.0,-6.0,54
2.0,55,2.0,6.0,55,-2.0,1.0,-2.0,55
5.0,56,5.0,6.0,56,-5.0,1.0,-5.0,56
5.0,57,5.0,6.0,57,-5.0,1.0,-5.0,57
2.0,58,2.0,6.0,58,-2.0,1.0,-2.0,58
-1.0,59,-1.0,6.0,59,1.0,1.0,1.0,59
6.0,60,6.0,6.0,60,-6.0,1.0,-6.0,60
6.0,61,6.0,6.0,61,-6.0,1.0,-6.0,61
