last-path-return_agent_1,max-path-return_agent_1,episodes,max-path-return_agent_0,total-samples,episode_reward,last-path-return_agent_0,mean-path-return_agent_1,mean-path-return_agent_0
-5.0,-5.0,1,5.0,1,1,5.0,-5.0,5.0
-6.0,-5.0,2,6.0,2,2,6.0,-6.0,6.0
-2.0,-2.0,3,6.0,3,3,2.0,-2.0,2.0
-2.0,-2.0,4,6.0,4,4,2.0,-2.0,2.0
-2.0,-2.0,5,6.0,5,5,2.0,-2.0,2.0
-5.0,-2.0,6,6.0,6,6,5.0,-5.0,5.0
-5.0,-2.0,7,6.0,7,7,5.0,-5.0,5.0
-2.0,-2.0,8,6.0,8,8,2.0,-2.0,2.0
-2.0,-2.0,9,6.0,9,9,2.0,-2.0,2.0
1.0,1.0,10,6.0,10,10,-1.0,1.0,-1.0
-6.0,1.0,11,6.0,11,11,6.0,-6.0,6.0
-6.0,1.0,12,6.0,12,12,6.0,-6.0,6.0
-2.0,1.0,13,6.0,13,13,2.0,-2.0,2.0
-6.0,1.0,14,6.0,14,14,6.0,-6.0,6.0
1.0,1.0,15,6.0,15,15,-1.0,1.0,-1.0
1.0,1.0,16,6.0,16,16,-1.0,1.0,-1.0
-2.0,1.0,17,6.0,17,17,2.0,-2.0,2.0
-5.0,1.0,18,6.0,18,18,5.0,-5.0,5.0
-2.0,1.0,19,6.0,19,19,2.0,-2.0,2.0
-2.0,1.0,20,6.0,20,20,2.0,-2.0,2.0
-2.0,1.0,21,6.0,21,21,2.0,-2.0,2.0
-2.0,1.0,22,6.0,22,22,2.0,-2.0,2.0
-6.0,1.0,23,6.0,23,23,6.0,-6.0,6.0
-2.0,1.0,24,6.0,24,24,2.0,-2.0,2.0
1.0,1.0,25,6.0,25,25,-1.0,1.0,-1.0
1.0,1.0,26,6.0,26,26,-1.0,1.0,-1.0
-5.0,1.0,27,6.0,27,27,5.0,-5.0,5.0
-2.0,1.0,28,6.0,28,28,2.0,-2.0,2.0
1.0,1.0,29,6.0,29,29,-1.0,1.0,-1.0
-2.0,1.0,30,6.0,30,30,2.0,-2.0,2.0
-5.0,1.0,31,6.0,31,31,5.0,-5.0,5.0
-2.0,1.0,32,6.0,32,32,2.0,-2.0,2.0
-2.0,1.0,33,6.0,33,33,2.0,-2.0,2.0
-6.0,1.0,34,6.0,34,34,6.0,-6.0,6.0
-2.0,1.0,35,6.0,35,35,2.0,-2.0,2.0
-5.0,1.0,36,6.0,36,36,5.0,-5.0,5.0
1.0,1.0,37,6.0,37,37,-1.0,1.0,-1.0
-2.0,1.0,38,6.0,38,38,2.0,-2.0,2.0
1.0,1.0,39,6.0,39,39,-1.0,1.0,-1.0
-5.0,1.0,40,6.0,40,40,5.0,-5.0,5.0
-2.0,1.0,41,6.0,41,41,2.0,-2.0,2.0
-5.0,1.0,42,6.0,42,42,5.0,-5.0,5.0
-6.0,1.0,43,6.0,43,43,6.0,-6.0,6.0
1.0,1.0,44,6.0,44,44,-1.0,1.0,-1.0
-2.0,1.0,45,6.0,45,45,2.0,-2.0,2.0
1.0,1.0,46,6.0,46,46,-1.0,1.0,-1.0
-2.0,1.0,47,6.0,47,47,2.0,-2.0,2.0
-2.0,1.0,48,6.0,48,48,2.0,-2.0,2.0
-5.0,1.0,49,6.0,49,49,5.0,-5.0,5.0
1.0,1.0,50,6.0,50,50,-1.0,1.0,-1.0
-5.0,1.0,51,6.0,51,51,5.0,-5.0,5.0
1.0,1.0,52,6.0,52,52,-1.0,1.0,-1.0
-2.0,1.0,53,6.0,53,53,2.0,-2.0,2.0
-6.0,1.0,54,6.0,54,54,6.0,-6.0,6.0
-2.0,1.0,55,6.0,55,55,2.0,-2.0,2.0
1.0,1.0,56,6.0,56,56,-1.0,1.0,-1.0
-2.0,1.0,57,6.0,57,57,2.0,-2.0,2.0
-5.0,1.0,58,6.0,58,58,5.0,-5.0,5.0
-2.0,1.0,59,6.0,59,59,2.0,-2.0,2.0
-5.0,1.0,60,6.0,60,60,5.0,-5.0,5.0
-5.0,1.0,61,6.0,61,61,5.0,-5.0,5.0
-2.0,1.0,62,6.0,62,62,2.0,-2.0,2.0
-6.0,1.0,63,6.0,63,63,6.0,-6.0,6.0
-5.0,1.0,64,6.0,64,64,5.0,-5.0,5.0
-5.0,1.0,65,6.0,65,65,5.0,-5.0,5.0
-6.0,1.0,66,6.0,66,66,6.0,-6.0,6.0
