mean-path-return_agent_1,total-samples,max-path-return_agent_0,mean-path-return_agent_0,last-path-return_agent_1,last-path-return_agent_0,episode_reward,max-path-return_agent_1,episodes
-5.0,1,5.0,5.0,-5.0,5.0,1,-5.0,1
-2.0,2,5.0,2.0,-2.0,2.0,2,-2.0,2
-2.0,3,5.0,2.0,-2.0,2.0,3,-2.0,3
-2.0,4,5.0,2.0,-2.0,2.0,4,-2.0,4
-2.0,5,5.0,2.0,-2.0,2.0,5,-2.0,5
1.0,6,5.0,-1.0,1.0,-1.0,6,1.0,6
-6.0,7,6.0,6.0,-6.0,6.0,7,1.0,7
-6.0,8,6.0,6.0,-6.0,6.0,8,1.0,8
-6.0,9,6.0,6.0,-6.0,6.0,9,1.0,9
-6.0,10,6.0,6.0,-6.0,6.0,10,1.0,10
1.0,11,6.0,-1.0,1.0,-1.0,11,1.0,11
-5.0,12,6.0,5.0,-5.0,5.0,12,1.0,12
1.0,13,6.0,-1.0,1.0,-1.0,13,1.0,13
-2.0,14,6.0,2.0,-2.0,2.0,14,1.0,14
-2.0,15,6.0,2.0,-2.0,2.0,15,1.0,15
1.0,16,6.0,-1.0,1.0,-1.0,16,1.0,16
-2.0,17,6.0,2.0,-2.0,2.0,17,1.0,17
1.0,18,6.0,-1.0,1.0,-1.0,18,1.0,18
-6.0,19,6.0,6.0,-6.0,6.0,19,1.0,19
-6.0,20,6.0,6.0,-6.0,6.0,20,1.0,20
1.0,21,6.0,-1.0,1.0,-1.0,21,1.0,21
-6.0,22,6.0,6.0,-6.0,6.0,22,1.0,22
-6.0,23,6.0,6.0,-6.0,6.0,23,1.0,23
-2.0,24,6.0,2.0,-2.0,2.0,24,1.0,24
-5.0,25,6.0,5.0,-5.0,5.0,25,1.0,25
-2.0,26,6.0,2.0,-2.0,2.0,26,1.0,26
-2.0,27,6.0,2.0,-2.0,2.0,27,1.0,27
-5.0,28,6.0,5.0,-5.0,5.0,28,1.0,28
-5.0,29,6.0,5.0,-5.0,5.0,29,1.0,29
-2.0,30,6.0,2.0,-2.0,2.0,30,1.0,30
-6.0,31,6.0,6.0,-6.0,6.0,31,1.0,31
-2.0,32,6.0,2.0,-2.0,2.0,32,1.0,32
1.0,33,6.0,-1.0,1.0,-1.0,33,1.0,33
-2.0,34,6.0,2.0,-2.0,2.0,34,1.0,34
-5.0,35,6.0,5.0,-5.0,5.0,35,1.0,35
1.0,36,6.0,-1.0,1.0,-1.0,36,1.0,36
1.0,37,6.0,-1.0,1.0,-1.0,37,1.0,37
-6.0,38,6.0,6.0,-6.0,6.0,38,1.0,38
1.0,39,6.0,-1.0,1.0,-1.0,39,1.0,39
1.0,40,6.0,-1.0,1.0,-1.0,40,1.0,40
-5.0,41,6.0,5.0,-5.0,5.0,41,1.0,41
-5.0,42,6.0,5.0,-5.0,5.0,42,1.0,42
1.0,43,6.0,-1.0,1.0,-1.0,43,1.0,43
1.0,44,6.0,-1.0,1.0,-1.0,44,1.0,44
1.0,45,6.0,-1.0,1.0,-1.0,45,1.0,45
-2.0,46,6.0,2.0,-2.0,2.0,46,1.0,46
-5.0,47,6.0,5.0,-5.0,5.0,47,1.0,47
1.0,48,6.0,-1.0,1.0,-1.0,48,1.0,48
