max-path-return_agent_0,mean-path-return_agent_0,max-path-return_agent_1,total-samples,episode_reward,last-path-return_agent_0,mean-path-return_agent_1,episodes,last-path-return_agent_1
5.0,5.0,-5.0,1,1,5.0,-5.0,1,-5.0
5.0,2.0,-2.0,2,2,2.0,-2.0,2,-2.0
5.0,2.0,-2.0,3,3,2.0,-2.0,3,-2.0
5.0,2.0,-2.0,4,4,2.0,-2.0,4,-2.0
6.0,6.0,-2.0,5,5,6.0,-6.0,5,-6.0
6.0,-1.0,1.0,6,6,-1.0,1.0,6,1.0
6.0,5.0,1.0,7,7,5.0,-5.0,7,-5.0
6.0,-1.0,1.0,8,8,-1.0,1.0,8,1.0
6.0,5.0,1.0,9,9,5.0,-5.0,9,-5.0
6.0,5.0,1.0,10,10,5.0,-5.0,10,-5.0
6.0,2.0,1.0,11,11,2.0,-2.0,11,-2.0
6.0,2.0,1.0,12,12,2.0,-2.0,12,-2.0
6.0,-1.0,1.0,13,13,-1.0,1.0,13,1.0
6.0,-1.0,1.0,14,14,-1.0,1.0,14,1.0
6.0,5.0,1.0,15,15,5.0,-5.0,15,-5.0
6.0,5.0,1.0,16,16,5.0,-5.0,16,-5.0
6.0,6.0,1.0,17,17,6.0,-6.0,17,-6.0
6.0,2.0,1.0,18,18,2.0,-2.0,18,-2.0
6.0,-1.0,1.0,19,19,-1.0,1.0,19,1.0
6.0,5.0,1.0,20,20,5.0,-5.0,20,-5.0
6.0,2.0,1.0,21,21,2.0,-2.0,21,-2.0
6.0,5.0,1.0,22,22,5.0,-5.0,22,-5.0
6.0,5.0,1.0,23,23,5.0,-5.0,23,-5.0
6.0,-1.0,1.0,24,24,-1.0,1.0,24,1.0
6.0,-1.0,1.0,25,25,-1.0,1.0,25,1.0
6.0,2.0,1.0,26,26,2.0,-2.0,26,-2.0
6.0,2.0,1.0,27,27,2.0,-2.0,27,-2.0
6.0,5.0,1.0,28,28,5.0,-5.0,28,-5.0
6.0,6.0,1.0,29,29,6.0,-6.0,29,-6.0
6.0,2.0,1.0,30,30,2.0,-2.0,30,-2.0
6.0,-1.0,1.0,31,31,-1.0,1.0,31,1.0
6.0,6.0,1.0,32,32,6.0,-6.0,32,-6.0
6.0,6.0,1.0,33,33,6.0,-6.0,33,-6.0
6.0,6.0,1.0,34,34,6.0,-6.0,34,-6.0
6.0,-1.0,1.0,35,35,-1.0,1.0,35,1.0
6.0,-1.0,1.0,36,36,-1.0,1.0,36,1.0
6.0,5.0,1.0,37,37,5.0,-5.0,37,-5.0
