max-path-return_agent_0,total-samples,max-path-return_agent_1,last-path-return_agent_1,mean-path-return_agent_1,mean-path-return_agent_0,episodes,episode_reward,last-path-return_agent_0
6.0,1,-6.0,-6.0,-6.0,6.0,1,1,6.0
6.0,2,-5.0,-5.0,-5.0,5.0,2,2,5.0
6.0,3,1.0,1.0,1.0,-1.0,3,3,-1.0
6.0,4,1.0,1.0,1.0,-1.0,4,4,-1.0
6.0,5,1.0,-2.0,-2.0,2.0,5,5,2.0
6.0,6,1.0,-5.0,-5.0,5.0,6,6,5.0
6.0,7,1.0,-5.0,-5.0,5.0,7,7,5.0
6.0,8,1.0,-5.0,-5.0,5.0,8,8,5.0
6.0,9,1.0,-5.0,-5.0,5.0,9,9,5.0
6.0,10,1.0,1.0,1.0,-1.0,10,10,-1.0
6.0,11,1.0,1.0,1.0,-1.0,11,11,-1.0
6.0,12,1.0,-2.0,-2.0,2.0,12,12,2.0
6.0,13,1.0,-6.0,-6.0,6.0,13,13,6.0
6.0,14,1.0,-6.0,-6.0,6.0,14,14,6.0
6.0,15,1.0,-2.0,-2.0,2.0,15,15,2.0
6.0,16,1.0,-2.0,-2.0,2.0,16,16,2.0
6.0,17,1.0,-5.0,-5.0,5.0,17,17,5.0
6.0,18,1.0,-5.0,-5.0,5.0,18,18,5.0
6.0,19,1.0,-6.0,-6.0,6.0,19,19,6.0
6.0,20,1.0,-2.0,-2.0,2.0,20,20,2.0
6.0,21,1.0,1.0,1.0,-1.0,21,21,-1.0
6.0,22,1.0,-5.0,-5.0,5.0,22,22,5.0
6.0,23,1.0,1.0,1.0,-1.0,23,23,-1.0
6.0,24,1.0,1.0,1.0,-1.0,24,24,-1.0
6.0,25,1.0,1.0,1.0,-1.0,25,25,-1.0
6.0,26,1.0,-2.0,-2.0,2.0,26,26,2.0
6.0,27,1.0,-5.0,-5.0,5.0,27,27,5.0
6.0,28,1.0,1.0,1.0,-1.0,28,28,-1.0
6.0,29,1.0,-5.0,-5.0,5.0,29,29,5.0
6.0,30,1.0,-6.0,-6.0,6.0,30,30,6.0
6.0,31,1.0,-6.0,-6.0,6.0,31,31,6.0
6.0,32,1.0,-5.0,-5.0,5.0,32,32,5.0
6.0,33,1.0,-6.0,-6.0,6.0,33,33,6.0
6.0,34,1.0,-5.0,-5.0,5.0,34,34,5.0
6.0,35,1.0,-2.0,-2.0,2.0,35,35,2.0
6.0,36,1.0,1.0,1.0,-1.0,36,36,-1.0
6.0,37,1.0,-2.0,-2.0,2.0,37,37,2.0
6.0,38,1.0,-6.0,-6.0,6.0,38,38,6.0
6.0,39,1.0,-6.0,-6.0,6.0,39,39,6.0
6.0,40,1.0,1.0,1.0,-1.0,40,40,-1.0
6.0,41,1.0,-5.0,-5.0,5.0,41,41,5.0
6.0,42,1.0,-2.0,-2.0,2.0,42,42,2.0
6.0,43,1.0,-2.0,-2.0,2.0,43,43,2.0
6.0,44,1.0,-2.0,-2.0,2.0,44,44,2.0
6.0,45,1.0,-5.0,-5.0,5.0,45,45,5.0
6.0,46,1.0,1.0,1.0,-1.0,46,46,-1.0
6.0,47,1.0,-5.0,-5.0,5.0,47,47,5.0
6.0,48,1.0,-2.0,-2.0,2.0,48,48,2.0
6.0,49,1.0,-6.0,-6.0,6.0,49,49,6.0
6.0,50,1.0,1.0,1.0,-1.0,50,50,-1.0
6.0,51,1.0,1.0,1.0,-1.0,51,51,-1.0
6.0,52,1.0,1.0,1.0,-1.0,52,52,-1.0
6.0,53,1.0,-6.0,-6.0,6.0,53,53,6.0
6.0,54,1.0,-2.0,-2.0,2.0,54,54,2.0
6.0,55,1.0,-5.0,-5.0,5.0,55,55,5.0
6.0,56,1.0,-6.0,-6.0,6.0,56,56,6.0
6.0,57,1.0,1.0,1.0,-1.0,57,57,-1.0
6.0,58,1.0,1.0,1.0,-1.0,58,58,-1.0
6.0,59,1.0,1.0,1.0,-1.0,59,59,-1.0
6.0,60,1.0,-2.0,-2.0,2.0,60,60,2.0
6.0,61,1.0,-5.0,-5.0,5.0,61,61,5.0
6.0,62,1.0,1.0,1.0,-1.0,62,62,-1.0
6.0,63,1.0,-6.0,-6.0,6.0,63,63,6.0
6.0,64,1.0,-6.0,-6.0,6.0,64,64,6.0
6.0,65,1.0,-2.0,-2.0,2.0,65,65,2.0
6.0,66,1.0,-5.0,-5.0,5.0,66,66,5.0
6.0,67,1.0,1.0,1.0,-1.0,67,67,-1.0
6.0,68,1.0,1.0,1.0,-1.0,68,68,-1.0
6.0,69,1.0,1.0,1.0,-1.0,69,69,-1.0
6.0,70,1.0,-6.0,-6.0,6.0,70,70,6.0
6.0,71,1.0,-6.0,-6.0,6.0,71,71,6.0
6.0,72,1.0,-6.0,-6.0,6.0,72,72,6.0
6.0,73,1.0,1.0,1.0,-1.0,73,73,-1.0
6.0,74,1.0,-5.0,-5.0,5.0,74,74,5.0
6.0,75,1.0,-2.0,-2.0,2.0,75,75,2.0
6.0,76,1.0,-5.0,-5.0,5.0,76,76,5.0
6.0,77,1.0,-2.0,-2.0,2.0,77,77,2.0
6.0,78,1.0,-5.0,-5.0,5.0,78,78,5.0
6.0,79,1.0,-6.0,-6.0,6.0,79,79,6.0
6.0,80,1.0,-5.0,-5.0,5.0,80,80,5.0
6.0,81,1.0,-5.0,-5.0,5.0,81,81,5.0
6.0,82,1.0,1.0,1.0,-1.0,82,82,-1.0
6.0,83,1.0,1.0,1.0,-1.0,83,83,-1.0
6.0,84,1.0,1.0,1.0,-1.0,84,84,-1.0
6.0,85,1.0,-2.0,-2.0,2.0,85,85,2.0
6.0,86,1.0,1.0,1.0,-1.0,86,86,-1.0
6.0,87,1.0,1.0,1.0,-1.0,87,87,-1.0
6.0,88,1.0,-2.0,-2.0,2.0,88,88,2.0
6.0,89,1.0,-6.0,-6.0,6.0,89,89,6.0
6.0,90,1.0,1.0,1.0,-1.0,90,90,-1.0
6.0,91,1.0,1.0,1.0,-1.0,91,91,-1.0
6.0,92,1.0,1.0,1.0,-1.0,92,92,-1.0
6.0,93,1.0,1.0,1.0,-1.0,93,93,-1.0
6.0,94,1.0,-2.0,-2.0,2.0,94,94,2.0
6.0,95,1.0,1.0,1.0,-1.0,95,95,-1.0
6.0,96,1.0,-2.0,-2.0,2.0,96,96,2.0
6.0,97,1.0,-2.0,-2.0,2.0,97,97,2.0
6.0,98,1.0,1.0,1.0,-1.0,98,98,-1.0
6.0,99,1.0,1.0,1.0,-1.0,99,99,-1.0
6.0,100,1.0,1.0,1.0,-1.0,100,100,-1.0
6.0,101,1.0,-6.0,-6.0,6.0,101,101,6.0
6.0,102,1.0,-5.0,-5.0,5.0,102,102,5.0
6.0,103,1.0,-2.0,-2.0,2.0,103,103,2.0
6.0,104,1.0,-6.0,-6.0,6.0,104,104,6.0
6.0,105,1.0,-5.0,-5.0,5.0,105,105,5.0
6.0,106,1.0,-5.0,-5.0,5.0,106,106,5.0
6.0,107,1.0,-2.0,-2.0,2.0,107,107,2.0
6.0,108,1.0,1.0,1.0,-1.0,108,108,-1.0
6.0,109,1.0,1.0,1.0,-1.0,109,109,-1.0
6.0,110,1.0,-6.0,-6.0,6.0,110,110,6.0
6.0,111,1.0,-6.0,-6.0,6.0,111,111,6.0
6.0,112,1.0,1.0,1.0,-1.0,112,112,-1.0
6.0,113,1.0,-6.0,-6.0,6.0,113,113,6.0
6.0,114,1.0,-5.0,-5.0,5.0,114,114,5.0
6.0,115,1.0,-6.0,-6.0,6.0,115,115,6.0
6.0,116,1.0,-2.0,-2.0,2.0,116,116,2.0
6.0,117,1.0,-2.0,-2.0,2.0,117,117,2.0
6.0,118,1.0,-2.0,-2.0,2.0,118,118,2.0
6.0,119,1.0,-6.0,-6.0,6.0,119,119,6.0
6.0,120,1.0,-5.0,-5.0,5.0,120,120,5.0
6.0,121,1.0,1.0,1.0,-1.0,121,121,-1.0
6.0,122,1.0,-6.0,-6.0,6.0,122,122,6.0
6.0,123,1.0,-2.0,-2.0,2.0,123,123,2.0
6.0,124,1.0,-2.0,-2.0,2.0,124,124,2.0
6.0,125,1.0,1.0,1.0,-1.0,125,125,-1.0
6.0,126,1.0,1.0,1.0,-1.0,126,126,-1.0
6.0,127,1.0,1.0,1.0,-1.0,127,127,-1.0
6.0,128,1.0,-6.0,-6.0,6.0,128,128,6.0
6.0,129,1.0,-5.0,-5.0,5.0,129,129,5.0
6.0,130,1.0,-6.0,-6.0,6.0,130,130,6.0
6.0,131,1.0,-5.0,-5.0,5.0,131,131,5.0
6.0,132,1.0,-6.0,-6.0,6.0,132,132,6.0
6.0,133,1.0,-5.0,-5.0,5.0,133,133,5.0
6.0,134,1.0,-6.0,-6.0,6.0,134,134,6.0
6.0,135,1.0,-2.0,-2.0,2.0,135,135,2.0
6.0,136,1.0,-2.0,-2.0,2.0,136,136,2.0
6.0,137,1.0,1.0,1.0,-1.0,137,137,-1.0
6.0,138,1.0,1.0,1.0,-1.0,138,138,-1.0
6.0,139,1.0,-6.0,-6.0,6.0,139,139,6.0
6.0,140,1.0,1.0,1.0,-1.0,140,140,-1.0
6.0,141,1.0,1.0,1.0,-1.0,141,141,-1.0
6.0,142,1.0,1.0,1.0,-1.0,142,142,-1.0
6.0,143,1.0,-2.0,-2.0,2.0,143,143,2.0
6.0,144,1.0,-5.0,-5.0,5.0,144,144,5.0
6.0,145,1.0,-5.0,-5.0,5.0,145,145,5.0
6.0,146,1.0,-5.0,-5.0,5.0,146,146,5.0
6.0,147,1.0,-5.0,-5.0,5.0,147,147,5.0
6.0,148,1.0,1.0,1.0,-1.0,148,148,-1.0
6.0,149,1.0,1.0,1.0,-1.0,149,149,-1.0
6.0,150,1.0,-2.0,-2.0,2.0,150,150,2.0
6.0,151,1.0,-6.0,-6.0,6.0,151,151,6.0
6.0,152,1.0,-2.0,-2.0,2.0,152,152,2.0
6.0,153,1.0,-6.0,-6.0,6.0,153,153,6.0
6.0,154,1.0,-6.0,-6.0,6.0,154,154,6.0
6.0,155,1.0,-2.0,-2.0,2.0,155,155,2.0
6.0,156,1.0,-6.0,-6.0,6.0,156,156,6.0
6.0,157,1.0,1.0,1.0,-1.0,157,157,-1.0
6.0,158,1.0,1.0,1.0,-1.0,158,158,-1.0
6.0,159,1.0,-6.0,-6.0,6.0,159,159,6.0
6.0,160,1.0,-2.0,-2.0,2.0,160,160,2.0
6.0,161,1.0,1.0,1.0,-1.0,161,161,-1.0
6.0,162,1.0,-6.0,-6.0,6.0,162,162,6.0
6.0,163,1.0,-5.0,-5.0,5.0,163,163,5.0
6.0,164,1.0,1.0,1.0,-1.0,164,164,-1.0
6.0,165,1.0,1.0,1.0,-1.0,165,165,-1.0
6.0,166,1.0,1.0,1.0,-1.0,166,166,-1.0
6.0,167,1.0,-5.0,-5.0,5.0,167,167,5.0
6.0,168,1.0,-2.0,-2.0,2.0,168,168,2.0
6.0,169,1.0,1.0,1.0,-1.0,169,169,-1.0
6.0,170,1.0,1.0,1.0,-1.0,170,170,-1.0
6.0,171,1.0,-5.0,-5.0,5.0,171,171,5.0
6.0,172,1.0,-2.0,-2.0,2.0,172,172,2.0
6.0,173,1.0,1.0,1.0,-1.0,173,173,-1.0
6.0,174,1.0,-2.0,-2.0,2.0,174,174,2.0
6.0,175,1.0,-6.0,-6.0,6.0,175,175,6.0
6.0,176,1.0,1.0,1.0,-1.0,176,176,-1.0
6.0,177,1.0,-6.0,-6.0,6.0,177,177,6.0
6.0,178,1.0,-6.0,-6.0,6.0,178,178,6.0
6.0,179,1.0,-6.0,-6.0,6.0,179,179,6.0
6.0,180,1.0,-5.0,-5.0,5.0,180,180,5.0
6.0,181,1.0,1.0,1.0,-1.0,181,181,-1.0
6.0,182,1.0,1.0,1.0,-1.0,182,182,-1.0
6.0,183,1.0,-5.0,-5.0,5.0,183,183,5.0
6.0,184,1.0,-2.0,-2.0,2.0,184,184,2.0
6.0,185,1.0,-5.0,-5.0,5.0,185,185,5.0
6.0,186,1.0,-6.0,-6.0,6.0,186,186,6.0
6.0,187,1.0,-6.0,-6.0,6.0,187,187,6.0
6.0,188,1.0,-5.0,-5.0,5.0,188,188,5.0
6.0,189,1.0,1.0,1.0,-1.0,189,189,-1.0
6.0,190,1.0,-6.0,-6.0,6.0,190,190,6.0
6.0,191,1.0,-2.0,-2.0,2.0,191,191,2.0
6.0,192,1.0,-2.0,-2.0,2.0,192,192,2.0
6.0,193,1.0,1.0,1.0,-1.0,193,193,-1.0
6.0,194,1.0,1.0,1.0,-1.0,194,194,-1.0
6.0,195,1.0,-6.0,-6.0,6.0,195,195,6.0
6.0,196,1.0,-2.0,-2.0,2.0,196,196,2.0
6.0,197,1.0,1.0,1.0,-1.0,197,197,-1.0
6.0,198,1.0,-5.0,-5.0,5.0,198,198,5.0
6.0,199,1.0,-6.0,-6.0,6.0,199,199,6.0
