episodes,episode_reward,mean-path-return_agent_1,max-path-return_agent_0,max-path-return_agent_1,total-samples,last-path-return_agent_1,last-path-return_agent_0,mean-path-return_agent_0
1,1,-5.0,5.0,-5.0,1,-5.0,5.0,5.0
2,2,-6.0,6.0,-5.0,2,-6.0,6.0,6.0
3,3,-6.0,6.0,-5.0,3,-6.0,6.0,6.0
4,4,-2.0,6.0,-2.0,4,-2.0,2.0,2.0
5,5,-2.0,6.0,-2.0,5,-2.0,2.0,2.0
6,6,1.0,6.0,1.0,6,1.0,-1.0,-1.0
7,7,-6.0,6.0,1.0,7,-6.0,6.0,6.0
8,8,-2.0,6.0,1.0,8,-2.0,2.0,2.0
9,9,-5.0,6.0,1.0,9,-5.0,5.0,5.0
10,10,-2.0,6.0,1.0,10,-2.0,2.0,2.0
11,11,1.0,6.0,1.0,11,1.0,-1.0,-1.0
12,12,-2.0,6.0,1.0,12,-2.0,2.0,2.0
13,13,-6.0,6.0,1.0,13,-6.0,6.0,6.0
14,14,-6.0,6.0,1.0,14,-6.0,6.0,6.0
15,15,-2.0,6.0,1.0,15,-2.0,2.0,2.0
16,16,-6.0,6.0,1.0,16,-6.0,6.0,6.0
17,17,-6.0,6.0,1.0,17,-6.0,6.0,6.0
18,18,-2.0,6.0,1.0,18,-2.0,2.0,2.0
19,19,-2.0,6.0,1.0,19,-2.0,2.0,2.0
20,20,-6.0,6.0,1.0,20,-6.0,6.0,6.0
21,21,1.0,6.0,1.0,21,1.0,-1.0,-1.0
22,22,-5.0,6.0,1.0,22,-5.0,5.0,5.0
23,23,-5.0,6.0,1.0,23,-5.0,5.0,5.0
24,24,-6.0,6.0,1.0,24,-6.0,6.0,6.0
25,25,-2.0,6.0,1.0,25,-2.0,2.0,2.0
26,26,-6.0,6.0,1.0,26,-6.0,6.0,6.0
27,27,-5.0,6.0,1.0,27,-5.0,5.0,5.0
28,28,-2.0,6.0,1.0,28,-2.0,2.0,2.0
29,29,-5.0,6.0,1.0,29,-5.0,5.0,5.0
30,30,-5.0,6.0,1.0,30,-5.0,5.0,5.0
31,31,1.0,6.0,1.0,31,1.0,-1.0,-1.0
32,32,1.0,6.0,1.0,32,1.0,-1.0,-1.0
33,33,-5.0,6.0,1.0,33,-5.0,5.0,5.0
34,34,-2.0,6.0,1.0,34,-2.0,2.0,2.0
35,35,-6.0,6.0,1.0,35,-6.0,6.0,6.0
36,36,1.0,6.0,1.0,36,1.0,-1.0,-1.0
37,37,1.0,6.0,1.0,37,1.0,-1.0,-1.0
38,38,-6.0,6.0,1.0,38,-6.0,6.0,6.0
39,39,-2.0,6.0,1.0,39,-2.0,2.0,2.0
40,40,-6.0,6.0,1.0,40,-6.0,6.0,6.0
41,41,1.0,6.0,1.0,41,1.0,-1.0,-1.0
42,42,-5.0,6.0,1.0,42,-5.0,5.0,5.0
43,43,-5.0,6.0,1.0,43,-5.0,5.0,5.0
44,44,-5.0,6.0,1.0,44,-5.0,5.0,5.0
45,45,-6.0,6.0,1.0,45,-6.0,6.0,6.0
46,46,1.0,6.0,1.0,46,1.0,-1.0,-1.0
47,47,1.0,6.0,1.0,47,1.0,-1.0,-1.0
48,48,-2.0,6.0,1.0,48,-2.0,2.0,2.0
49,49,1.0,6.0,1.0,49,1.0,-1.0,-1.0
50,50,-5.0,6.0,1.0,50,-5.0,5.0,5.0
51,51,-5.0,6.0,1.0,51,-5.0,5.0,5.0
52,52,1.0,6.0,1.0,52,1.0,-1.0,-1.0
53,53,-6.0,6.0,1.0,53,-6.0,6.0,6.0
